SCaLE Budget 2014-2023,,"$1,782,900",Actual (20x),,Actual (19x),,,,Actual (18x),,Actual (17x),,Actual (16x),,Actual (15x),,Actual (14x),,Actual (13x),,Actual (12x),
,#,TOTAL,2023,"$318,500",2022,"$235,500",2021 SKIPPED,,2020,"$195,000",2019,"$239,500",2018,"$192,000",2017,"$187,000",2016,"$220,400",2015,"$124,000",2014,"$71,000"
Microsoft Corporation,5,"$43,000",None,$0,None,$0,,,Platinum,"$12,000",Platinum,"$12,000",Platinum,"$12,000",None,$0,Gold,"$6,000",Special Event,"$1,000",None,$0
Facebook,7,"$41,000",Gold,"$6,000",Gold,"$6,000",,,Gold,"$6,000",Gold,"$6,000",Gold,"$6,000",Gold,"$5,000",Gold,"$6,000",None,$0,None,$0
"Red Hat, Inc.",8,"$38,000",Gold,"$6,000",Gold,"$6,000",,,Gold,"$6,000",Gold,"$6,000",Silver,"$3,000",Silver,"$3,000",Silver,"$3,000",Gold,"$5,000",None,$0
CNCF,5,"$36,500",Platinum,"$12,500",Gold,"$6,000",,,Gold,"$6,000",Gold,"$6,000",Gold,"$6,000",None,$0,None,$0,None,$0,None,$0
"Datadog, Inc",9,"$33,000",Silver,"$3,500",Silver,"$3,500",,,Silver,"$3,000",Silver,"$3,000",Gold,"$6,000",Gold,"$5,000",Silver,"$3,000",Silver,"$3,000",Silver,"$3,000"
Hewlett Packard Enterprise Development LP,4,"$33,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Silver,"$3,000",Diamond,"$20,000",Gold,"$5,000",Gold,"$5,000"
MySQL,8,"$31,000",Silver,"$3,500",Silver,"$3,500",,,Silver,"$3,000",Gold,"$6,000",Gold,"$6,000",Silver,"$3,000",Silver,"$3,000",Silver,"$3,000",None,$0
media temple (mt),5,"$30,500",None,$0,None,$0,,,None,$0,None,$0,Gold,"$6,000",Gold,"$5,000",Platinum,"$12,000",Gold,"$5,000",Reception,"$2,500"
IBM,3,"$28,000",None,$0,None,$0,,,None,$0,Diamond,"$20,000",None,$0,None,$0,None,$0,Gold,"$5,000",Silver,"$3,000"
Walt Disney Company,5,"$26,000",None,$0,None,$0,,,Gold,"$6,000",Gold,"$6,000",Gold,"$6,000",Gold,"$5,000",Silver,"$3,000",None,$0,None,$0
